id,isi_berita,label
1,"Jakarta - Putri Kusuma Wardani percaya diri dengan komposisi beregu putri yang dipilih PBSI untuk Asian Games 2026. Dia juga menyebut chemistry satu sama lain sudah klop. Bulutangkis Indonesia mengirimkan 20 wakil untuk tampil di Aichi-Nagoya, 19 September hingga 4 Oktober mendatang. 10 Atlet di antaranya merupakan sektor beregu putri. Yaitu Putri KW, Thalita R. Wiryawan, Ni Kadek Dhinda, Mutiara Ayu Puspitasari, Rachel Allessya Rose, Febi Setianingrum, Febriana Dwipuji Kusuma, Meilysa Trias Puspitasari, Siti Fadia Silva Ramadhanti, dan Nita Violina Marwah. SCROLL TO CONTINUE WITH CONTENT Baca juga: Tekad Alwi Farhan Lampaui Batas di Asian Games 2026 Putri menilai komposisi skuad bulutangkis Indonesia yang mengombinasikan pemain senior dan junior, tidak menemukan kendala dalam membangun koneksi di dalam tim. ADVERTISEMENT Pengalaman berlaga bersama dalam beberapa kejuaraan beregu sebelumnya dinilai telah membentuk kekompakan antar-atlet. ""Dengan tim komposisi yang ada cukup kuat sih. Kita juga sudah lumayan dua atau tiga kali beregu bersama-sama, jadi sudah ketemu chemistry-nya di antara satu dan yang lain, baik tunggal maupun ganda,"" kata Putri dalam keterangannya dikutip Selasa (8/9/2026). Tak hanya itu, seluruh rangkaian program latihan di Pelatnas sejauh ini berjalan dengan lancar dan kondusif. Sampai menjelang hari keberangkatan menuju Jepang, porsi latihan tim nasional kini lebih difokuskan pada penguatan di masing-masing sektor di bawah arahan tim pelatih. ""Yang pasti, kekurangan dari pertandingan sebelumnya menuju pertandingan Asian Games lebih ditingkatkan lagi,"" tambahnya. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 Terkait peta persaingan di Asian Games 2026, Putri KW menilai kekuatan di sektor tunggal putri kawasan Asia tergolong sangat merata. Dia mewaspadai kekuatan para pemain dari negara-negara papan atas seperti China, Jepang, dan Korea Selatan. ""Kalau kekuatan sendiri di Asian Games menurut aku cukup merata ya dari Asia sendiri, terutama dari China, Jepang, dan Korea Selatan sih cukup kuat,"" tuturnya. Pebulutangkis peringkat ke-7 dunia itu memasang target tinggi pada ajang Asian Games 2026. Secara pribadi, Putri berambisi untuk dapat melangkah hingga ke babak akhir dan berdiri di atas podium. Hal ini juga sejalan dengan target medali yang dicanangkan oleh PP PBSI. ""Harapannya semoga tim bulu tangkis Indonesia bisa mendapatkan medali, dan terutama untuk pribadi aku sendiri, aku bisa menyumbangkan medali untuk Indonesia di ajang Asian Games,"" pungkas Putri. Lihat juga Video; Hong Kong Open 2024: Sabar/Reza dan Putri KW Tumbang di Final [Gambas:Video 20detik] (mcy/aff) ... Tautan telah disalin asian games 2026 putri kusuma wardani pbsi",sport
2,"Jakarta - Mata Derrick Michael Xzavierro berbinar saat berbicara soal Asian Games 2026. Dia akan mewujudkan mimpi masa kecilnya! ""Aku ingat terakhir kali menonton Asian Games itu saat digelar di Jakarta. Asian Games di Jakarta benar-benar seperti mimpi buat aku. Waktu itu aku masih SMA dan datang ke Gelora Bung Karno hanya untuk menonton. Suasananya benar-benar bagus, begitu juga dengan penontonnya,"" kata Derrick saat ditemui di Jakarta Selatan, Sabtu (6/9/2026). Tak ayal, saat mimpi itu terwujud, Derrick mengaku benar-benar antusias. Apalagi klub tempat ia bernaung saat ini, Saga Ballooners, mengizinkannya memperkuat Indonesia. SCROLL TO CONTINUE WITH CONTENT ""Aku antusias banget karena ini pertama kalinya aku tampil di Asian Games,"" ujarnya. ""Ini juga merupakan salah satu impianku sejak kecil untuk bisa bermain di Asian Games. Jadi, aku ingin membuat semuanya benar-benar berarti."" ADVERTISEMENT Baca juga: Asian Games 2026: Timnas Basket Masuk Grup Neraka, CdM Optimistis Di Asian Games, Derrick dan kawan-kawan langsung menghadapi tantangan besar. Ia akan melawan tuan rumah di Aichi-Nagoya pada 10 September 2026. Alih-alih gentar, Derrick justru makin semangat. Apalagi, Derrick sudah terbiasa dengan atmosfer basket Jepang. Kini ia akan merasakannya dengan jersey Merah Putih. ""Kami akan bermain melawan Jepang. Aku tahu arenanya akan sangat besar, salah satu arena terbesar di B.League. Jadi, aku sangat excited untuk bermain di sana,"" ujarnya. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 Tak hanya itu, Derrick juga semakin bersemangat karena rekan-rekannya di Jepang juga bakal mendukungnya secara penuh saat di Asian Games nanti. ""Oh iya, semua teman-teman saya di Jepang, B.League dan tim saya, benar-benar mendukung saya. Kemarin saya juga sempat latihan sekitar sebulan di sana. Mereka bilang, 'Kami akan menonton pertandinganmu. Lakukan yang terbaik. Kami akan mendukungmu.'"" ""Walaupun mereka berasal dari Jepang, mereka tetap mendukung saya sebagai salah satu pemain mereka. Jadi, saya sangat beruntung bisa berada di Saga juga. Mereka memberikan dukungan penuh kepada Indonesia,"" ujarnya. Pebasket berusia 23 tahun ini pun membeberkan target pribadinya dalam debutnya di Asian Games 2026. ""Target pribadi pastinya menang sebanyak-banyaknya dan memberikan kontribusi sebagus-bagusnya untuk tim. Semoga kami bisa memenangkan setiap pertandingan. Setidaknya kami bisa lolos ke grup berikutnya,"" kata Derrick. ""Untuk masyarakat Indonesia, aku sangat membutuhkan dukungan, full support. Jangan setengah-setengah dalam memberikan dukungan,"" ucapnya. Baca juga: Timnas Voli Putra dan Putri Indonesia Bidik 8 Besar Asian Games 2026 (mcy/aff) ... Tautan telah disalin asian games 2026 derrick michael basket",sport
3,"Jakarta - Marc Marquez masih harus beradaptasi dengan kondisi lengan kanan yang jauh dari normal. Dokter yang pernah mengoperasinya, Samuel Antuna, mengungkap kekuatan lengan tersebut kini hanya sekitar 50 persen. Antu̱a menjelaskan kondisi itu merupakan dampak dari berbagai cedera dan operasi yang dijalani Marc. Kecelakaan di MotoGP Indonesia tahun lalu menjadi titik balik karena kembali memperburuk kondisi lengan kanannya. ""Sebelum kecelakaan di Indonesia, dia baik-baik saja. Dia bisa balapan, tidak merasakan sakit dan tidak mengeluhkan apa pun. Kecelakaan itu mengubah semuanya,"" kata Antuna kepada El Periodico yang dilansir Motosan . SCROLL TO CONTINUE WITH CONTENT Baca juga: Crutchlow Pilih Ai Ogura Jadi Favorit Setelah Marc Marquez, Ini Alasannya Masalah Marc kemudian semakin rumit karena saraf radial di lengannya sempat tertekan serpihan tulang. Kondisi itu membuatnya kehilangan kendali atas lengan saat berada dalam posisi tertentu di atas motor dan berkontribusi terhadap sejumlah kecelakaan. ADVERTISEMENT Setelah menjalani operasi untuk mengatasi masalah tersebut, kondisinya membaik. Namun, kekuatan lengan kanannya tetap jauh di bawah lengan kiri. ""Dia memiliki latissimus dorsi yang kuat, tetapi secara mekanis terganggu. Hal yang sama berlaku pada teres major. Namun, masalah utamanya adalah dia kehilangan kekuatan pada bisep,"" ujar Antuna. Baca juga: Jadwal MotoGP San Marino 2026: Misi Marc Marquez Kejar Jorge Martin ""Lengan itu sangat terbatas dalam hal kekuatan, terutama pada bisep. Saya memperkirakan kekuatannya sekitar 50 persen dari kapasitasnya,"" lanjutnya. Antuna menegaskan Marc tidak kehilangan otot. Namun, sejumlah otot seperti trisep, latissimus dorsi, teres major, dan pektoralis mayor terdampak berbagai operasi sehingga mengalami perubahan dan sedikit atrofi. Kondisi tersebut membuat lengan kanan Marc tidak memiliki kekuatan yang sama dengan lengan kirinya. Meski begitu, pebalap Ducati itu mampu beradaptasi dengan keterbatasan fisiknya dan tetap kompetitif di MotoGP. (krs/yna) ... Tautan telah disalin marc marquez kondisi lengan kekuatan otot cedera olahraga motogp operasi lengan saraf radial adaptasi fisik kesehatan atlet bisep lemah",sport
4,"Jakarta - Momen debut di Asian Games 2026 tak mau disia-siakan Alwi Farhan. Pebulutangkis tunggal putra Indonesia itu bertekad habis-habisan menguras kemampuan demi hasil terbaik di Aichi-Nagoya. ""Saya selalu nge- push diri saya to the limit setiap harinya,"" kata Alwi dalam keterangannya, Selasa (8/9/2026). Bagi Alwi, Asian Games bukan turnamen biasa. Statusnya merupakan multievent terbesar se-Asia membuat atmosfernya terasa berbeda. SCROLL TO CONTINUE WITH CONTENT ""Semuanya sakral bagi saya dan bagi semuanya, karena kami sangat amat berambisi untuk mencapai target,"" kata pebulutangkis 21 tahun itu. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 ADVERTISEMENT Ia pun menyebut multievent ini sebagai panggung istimewa yang tidak semua orang bisa dapatkan. ""Di multievent ini tidak sembarang orang yang dipilih oleh Tuhan untuk bisa menjadi seorang juara. Selagi masih ada waktu, saya berdoa dan berusaha untuk bisa mendapatkan hasil terbaik,"" ucap Alwi. Duduk di peringkat 11 dunia BWF, Alwi mengaku sudah mematangkan seluruh aspek persiapan menjelang debutnya. ""Alhamdulillah sejauh ini persiapannya cukup bagus. Persiapan dari segi mental, fisik, dan pikiran menjadi fokus utama menjelang kejuaraan pesta olahraga Asia itu,"" jelasnya. Baca juga: Asian Games 2026: Bulutangkis Beregu Putra Jadi Asa Indonesia Raih Emas Dia pun berharap bisa melampaui batas maksimal kemampuannya saat bertanding nanti. Terlebih, PBSI mematok target emas di nomor beregu putra. Sementara untuk perorangan, Alwi memasang target pribadi yaitu medali. ""Di sektor ini semuanya bisa memberikan kejutan, baik yang di atas maupun di bawah. Jadi tidak menutup kemungkinan siapa pun bisa meraih gelar juara kalau dari dirinya sendiri memang siap dan matang dari segi mental,"" tuturnya. ""Mohon doa dan dukungannya,"" pungkas Alwi. Asian Games 2026 akan berlangsung di Aichi-Nagoya pada 19 September hingga 4 Oktober. Bulutangkis Indonesia menurunkan 20 wakilnya dari putra dan putri. Baca juga: Jonatan Christie Terima Tawaran PBSI Tampil di Asian Games 2026: Ini Targetnya Simak juga Video Alwi: Tak Pernah Terbayangkan Bisa Juara Indonesia Masters [Gambas:Video 20detik] (mcy/aff) ... Tautan telah disalin asian games 2026 alwi farhan pbsi",sport
5,"Jakarta - MotoGP 2026 akan berlanjut ke San Marino. Seri ke-14 musim ini akan digelar di Misano World Circuit Marco Simoncelli pada 11-13 September 2026. Jorge Martin untuk sementara masih memimpin klasemen MotoGP 2026. Tapi keunggulannya mulai tergerus setelah Marc Marquez tampil sempurna di Aragon. Marc berhasil memenangi Sprint dan balapan utama di Aragon. Sementara Martin hanya finis kelima di kedua sesi tersebut. SCROLL TO CONTINUE WITH CONTENT Hasil itu membuat Marc memangkas jarak dengan Martin menjadi 19 poin. Martin kini mengoleksi 256 poin, sedangkan Marc mengumpulkan 237 poin. Marco Bezzecchi berada di posisi ketiga dengan 232 poin. Balapan Aragon sendiri dimenangi Marc setelah tampil dominan. Ia meraih 25 poin dari balapan utama, sementara Martin hanya mendapat 11 poin. Data resmi MotoGP mencatat Marc finis pertama, Pedro Acosta kedua, Bezzecchi ketiga, dan Martin kelima. ADVERTISEMENT Dengan sembilan seri tersisa, persaingan perebutan gelar pun semakin terbuka. Marc Marquez kini hanya berjarak kurang dari satu kemenangan penuh dari Jorge Martin. Kini selisih keduanya hanya 19 poin. Bezzecchi juga belum bisa dicoret. Pebalap Aprilia itu hanya terpaut lima poin dari Marc dan 24 poin dari Martin. Artinya, tiga pebalap teratas masih berada dalam persaingan yang sangat ketat menuju paruh akhir musim. Baca juga: Duel 300 Km/Jam Marc Marquez Vs Bezzecchi di Aragon: Motor seperti Nempel Klasemen MotoGP 2026 Berikut klasemen sementara MotoGP 2026 setelah seri Aragon: Pos Pebalap Tim Poin 1 Jorge Martin Aprilia Racing 256 2 Marc Marquez Ducati Lenovo Team 237 3 Marco Bezzecchi Aprilia Racing 232 4 Fabio Di Giannantonio VR46 Ducati 208 5 Ai Ogura Trackhouse Aprilia 203 6 Pedro Acosta KTM 189 7 Raul Fernandez Trackhouse Aprilia 186 8 Francesco Bagnaia Ducati Lenovo Team 143 9 Alex Marquez Gresini Ducati 128 10 Fermin Aldeguer Gresini Ducati 90 MotoGP San Marino Digelar di Misano Seri San Marino berlangsung di Misano World Circuit Marco Simoncelli. Sirkuit tersebut memiliki panjang 4,23 kilometer, dengan 16 tikungan yang terdiri dari 10 tikungan kanan dan enam tikungan kiri. Balapan MotoGP dijadwalkan berlangsung selama 27 lap dengan total jarak 114,1 kilometer. Rangkaian akhir pekan dimulai pada Jumat (11/9), dilanjutkan kualifikasi dan Sprint pada Sabtu (12/9), kemudian balapan utama pada Minggu (13/9). Nah, berikut jadwal lengkapnya dalam Waktu Indonesia Barat (WIB) berdasarkan jadwal resmi MotoGP. MotoGP San Marino merupakan seri ke-14 dari kalender 2026 dan akan berlangsung di Misano pada 11-13 September. Baca juga: Marc Marquez Makin Dekat, Jorge Martin Akan Lawan! Jadwal MotoGP San Marino 2026 Jumat, 11 September 2026 Waktu WIB Kelas Sesi 14.00-14.35 Moto3 Free Practice 1 14.50-15.30 Moto2 Free Practice 1 15.45-16.30 MotoGP Free Practice 1 18.15-18.50 Moto3 Practice 19.05-19.45 Moto2 Practice 20.00-21.00 MotoGP Practice Sabtu, 12 September 2026 Waktu WIB Kelas Sesi 13.40-14.10 Moto3 Free Practice 2 14.25-14.55 Moto2 Free Practice 2 15.10-15.40 MotoGP Free Practice 2 15.50-16.05 MotoGP Qualifying 1 16.15-16.30 MotoGP Qualifying 2 17.45-18.00 Moto3 Qualifying 1 18.10-18.25 Moto3 Qualifying 2 18.40-18.55 Moto2 Qualifying 1 19.05-19.20 Moto2 Qualifying 2 20.00 WIB MotoGP Sprint, 13 lap Minggu, 13 September 2026 Waktu WIB Kelas Sesi 14.40-14.50 MotoGP Warm Up 16.00 WIB Moto3 Race, 20 lap 17.15 WIB Moto2 Race, 22 lap 19.00 WIB MotoGP Grand Prix, 27 lap (krs/ran) ... Tautan telah disalin hasil balapan aragon jadwal motogp san marino balapan motogp persaingan motogp klasemen motogp sirkuit misano motogp 2026 misano world circuit jorge martin marc marquez",sport
6,"Jakarta - Jelang Asian Games 2026, dukungan untuk 432 atlet Indonesia terus mengalir. Momentum ini jadi pengingat bahwa jalan menuju podium adalah hasil kolaborasi. Hal itu ditegaskan Ketua Umum Komite Olimpiade Indonesia (NOC Indonesia), Raja Sapta Oktohari, yang menekankan pentingnya keberlanjutan dukungan bagi atlet. ""Perjalanan menuju podium tidak pernah dibangun dalam waktu singkat. Atlet membutuhkan dukungan yang konsisten, mulai dari proses persiapan hingga saat mereka bertanding membawa Merah Putih,"" ujar Okto dalam keterangan tertulisnya, Selasa (8/9/2026). SCROLL TO CONTINUE WITH CONTENT Baca juga: Timnas Basket Jadi Gelombang Pertama Datang ke Asian Games 2026 Bagi Okto, kolaborasi antara pemerintah, federasi, dunia usaha, dan masyarakat adalah kunci membangun ekosistem olahraga yang kuat. ADVERTISEMENT ""Ketika dunia usaha, federasi, pemerintah, masyarakat, dan seluruh pemangku kepentingan bergerak bersama, kita tidak hanya berbicara tentang medali, tetapi juga membangun ekosistem olahraga yang berkelanjutan. Kami berharap kolaborasi seperti ini terus tumbuh dan memberikan dampak positif bagi atlet serta olahraga Indonesia,"" tambahnya. Ia lantas mengapresiasi semua pihak yang terus hadir mendampingi perjuangan atlet sejak Olimpiade Paris 2024, SEA Games 2025, hingga Asian Games nanti. Baca juga: Timnas Voli Putra dan Putri Indonesia Bidik 8 Besar Asian Games 2026 Hal senada disampaikan Direktur PT Tim Indonesia Emas, Richard Sam Bera. Ia menilai konsistensi dukungan menjadi bahan bakar penting bagi mental atlet. Richard menyebut Asian Games Aichi-Nagoya 2026 sebagai panggung pembuktian dari proses panjang yang sudah dijalani. ""Para atlet sudah bekerja keras dalam persiapan mereka. Sekarang saatnya kita memberikan dukungan penuh agar mereka bisa bertanding dengan percaya diri dan membawa semangat Merah Putih,"" ujarnya. Atlet panjat tebing Veddriq Leonardo berterima kasih atas dukungan masyarakat hingga pihak swasta yang diberikan kepadanya dan para atlet. ""Kami tentu sangat berterima kasih atas dukungan masyarakat Indonesia yang terus mendampingi perjalanan kami. Dukungan seperti ini menjadi motivasi tambahan bagi kami untuk memberikan yang terbaik. Mohon doa dan dukungannya agar kami bisa berjuang maksimal dan membawa hasil terbaik untuk Merah Putih di Asian Games,"" ucap peraih medali emas Olimpiade 2024 ini. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 (mcy/aff) ... Tautan telah disalin asian games 2026 raja sapta oktohari koi",sport
7,"Jakarta - Timnas voli putra Indonesia siap tempur dan bertekad mengharumkan nama bangsa di Asian Games 2026 . Boy Arnez dan kawan-kawan percaya diri dapat mempersembahkan hasil terbaik. Asian Games 2026 berlangsung di Aichi-Nagoya, mulai 19 September hingga 4 Oktober 2026. Timnas voli putra telah melakukan persiapan sebulan penuh, baik fisik maupun mental. Kapten Timnas voli putra Boy Arnez menegaskan tidak ada kendala berarti selama Pelatnas. Chemistry tim sudah terbentuk. SCROLL TO CONTINUE WITH CONTENT ""Persiapan kami sudah cukup lama, sebulan. Untuk chemistry tim sudah solid, tinggal membenahi kesalahan-kesalahan di game. Tapi kami optimis dapat main baik nanti di Asian Games,"" kata Boy saat ditemui di kawasan Jakarta Selatan, Jumat (4/9/2026). Di bawah asuhan pelatih Reidel Toiran, skuad Garuda memang telah digembleng habis-habisan. Mulai dari pelatihan intensif hingga uji coba melawan Kamboja. ADVERTISEMENT Baca juga: AVC Continental: Ditunggu Lawan-lawan Berat, Ini Target Timnas Voli Putri RI! ""Kami sudah digembleng sih, mulai dari fisik ke mental. Nanti tinggal di Asian Games saja nanti gimana,"" tambah Boy. Bukan tanpa alasan Boy mengatakan demikian. Selain persiapan yang baik, mereka juga baru saja menorehkan hasil baik usai menjuarai AVC Men's Volleyball Cup 2026 di India. Di Asian Games, tim voli putra Indonesia tergabung dalam Grup B bersama Iran, Thailand, dan Kirgistan. Tak hanya Timnas voli putra, dari sektor putri, Maradanti juga meyakini tim putri juga bisa berbicara lebih di multievent terbesar di Asia tersebut. Tim putri Indonesia masuk Grup A bersama Jepang dan Nepal. ""Untuk persiapannya sih sebenarnya sudah siap ya. Karena sebelum menuju Asian Games 2026 ini kita udah mengikuti pertandingan internasional. Dan beberapa sparing-sparing dengan tim lainnya,"" papar Rara. Melihat lawan-lawan yang dihadapi di Aichi-Nagoya nanti, Baik Rara maupun Boy menargetkan lolos ke delapan besar terlebih dahulu. ""Tahap pertama masuk 8 besar dulu ya. Lalu nanti dari 8 besar kita pikir lagi buat masuk ke babak berikutnya. Step by step dulu,"" ucap Rara. Video Bicara Kesiapan Atlet untuk Asian Games, Mensesneg: Persiapan Sangat Baik Video Bicara Kesiapan Atlet untuk Asian Games, Mensesneg: Persiapan Sangat Baik (mcy/ran) ... Tautan telah disalin asian games 2026 voli voli indonesia asian games",sport
8,"Jakarta - Jelang Asian Games 2026, Timnas basket 3x3 putra terbang ke Taiwan untuk mengikuti FIBA 3x3 Challenger. Ajang ini penting untuk pembentukan mental! Berlangsung di Kaohsiung, Taiwan, pada 5-6 September, Timnas basket 3x3 Indonesia berkekuatan empat pemain dari total delapan nama yang ikut latihan di persiapan tahap akhir. Keempat nama itu adalah Almando Davin Nepa Bait, Halmaheranno Aprianto Lolaru Hady, Erick Ibrahim Junior, dan Daffa Dhoifullah. SCROLL TO CONTINUE WITH CONTENT Mereka berangkat ke Kaohsiung dengan membawa nama Tim Balige. Sementara dua pemain, yaitu Aymane Arip dan Richard Kornelius, akan menyusul dan bergabung untuk melakukan scrimmage dengan tim/klub lokal di Taiwan pada dua hari berikutnya, 7-8 September. Di Kaohsiung, Tim Balige akan berjuang dari babak kualifikasi. Mereka tergabung di Grup B bersama Tim Shibuya asal Jepang dan Tim Phoenix dari Amerika Serikat. ADVERTISEMENT Baca juga: Hasil Undian Basket 3x3 Asian Games 2026: Indonesia Segrup sama Siapa? Shibuya merupakan tim profesional yang diperkuat dua pemain Jepang dan rekrutan asal Latvia, Kristaps Gluditis dan Zigmars Raimo. Mereka pemain senior dengan usia 30 tahunan. Kemudian Phoenix dari USA diisi pemain matang dengan usia 29 dan 30 tahun.Untuk di Kualfikasi Grup B, hanya Balige yang diisi pemain muda dengan usia di bawah 23 tahun. Wakil Ketua Program 3x3 Badan Tim Nasional (BTN) DPP Perbasi sekaligus General Manager Timnas 3x3 Putra Derry Primasta Octa menegaskan pengiriman pemain muda ini sesuai regulasi Asian Games 2026 yang membatasi usia maksimal 23 tahun untuk basket 3x3. ""Pengalaman merasakan atmosfer pertandingan di ajang internasional dibutuhkan oleh pemain kita dalam membentuk karakter permainan menuju Asian Games 2026,"" kata Derry dalam keterangannya. ""Tim Balige dengan kekuatan pemain usia lebih muda dikirim ke ajang ini dengan tujuan membentuk mental tanding dan mengambil pengalaman serta merasakan atmosfer pertandingan di level internasional."" Derry juga menekankan, hasil akhir nomor dua. Yang utama adalah proses. ""Hasil akhir memang penting dalam pertandingan. Namun dalam proses pembentukan tim saat ini, melihat pemahaman pemain dalam menjalankan strategi permainan yang telah diberikan selama training camp nasional jauh lebih penting agar di Asian Games nanti bisa mendapatkan hasil maksimal,"" ujarnya. Baca juga: Ini Dia 20 Pebulutangkis Indonesia di Asian Games 2026 Di Asian Games 2026, Timnas Basket 3x3 Putra tergabung di Pool C. Di sana, Indonesia akan bersaing melawan Qatar, Taiwan, dan Bahrain. ""Komposisi pemain saat ini adalah yang terbaik dari proses training camp yang sudah berjalan, dipimpin oleh Coach Donnda. Kami melihat banyak perubahan positif sejak FIBA Batam Challenger."" ""Mari kita dukung anak-anak muda berprestasi Indonesia, wakil kita di kancah global melalui 3x3 Basket. Ultimately, kami bersama mau memberikan yang terbaik untuk Asian Games 2026,"" tegas Derry. (mcy/aff) ... Tautan telah disalin asian games 2026 timnas basket 3x3",sport
9,"Jakarta - Inter Milan akan memulai kembali petualangan di Liga Champions . Nerazzurri sudah belajar karena tersingkir terlalu dini pada musim lalu. Inter tersingkir di fase playoff ke babak 16 besar Liga Champions musim lalu. Mereka ditaklukkan oleh wakil Norwegia, Bodo/Glimt. Dalam pertandingan dua leg, Inter kalah 1-3 dan 1-2 dari Bodo/Glimt. Oleh karena itu, kapten Inter, Lautaro Martinez, mengungkap keinginan untuk meraih prestasi lebih baik di Liga Champions musim ini. Pelajaran berharga sudah dipetik Inter dari kegagalan musim lalu. SCROLL TO CONTINUE WITH CONTENT Baca juga: Madrid Vs Inter: Buruknya Rekor Nerazzurri di Tanah Spanyol ""Kami tersingkir terlalu cepat tahun lalu, tetapi pada akhirnya, setiap tahun penting untuk berkembang dan belajar dari kesalahan. Untuk membenahi apa yang telah dilakukan,"" kata Lautaro Martinez seperti dikabarkan oleh Marca. ADVERTISEMENT ""Saya berharap dapat memberikan yang terbaik dan membawa Inter ke level tertinggi,"" kata dia menambahkan. Baca juga: Mourinho Heran Inter Milan Belum Juara Liga Champions Lagi Inter akan menjalani laga berat pada awal musim baru Liga Champions 2026/2027. Inter akan bertandang melawan Real Madrid. El Real jelas bukan lawan yang mudah untuk Inter . Madrid sedang dalam laju positif lewat catatan empat kemenangan beruntun dalam duel terakhir melawan tim asal Italia tersebut. Baca juga: Mourinho: Madrid Vs Inter Bukan Laga Vital Video: Mourinho Tak Terbebani Jelang Tampil di Liga Champions Video: Mourinho Tak Terbebani Jelang Tampil di Liga Champions (cas/aff) liga champions inter milan lautaro martinez real madrid",sport
10,"Jakarta - Pacuan kuda Indonesia mulai diarahkan menuju panggung dunia melalui Indonesia's Horse Racing (IHR) 2026. Hal ini dikembangkan oleh Sarga.co dengan konsep olahraga, hiburan, pariwisata, dan ekonomi kreatif. IHR dikembangkan bukan hanya sebagai kompetisi untuk menentukan kuda tercepat. Platform tersebut dirancang menjadi bagian dari ekosistem yang menghubungkan olahraga berkuda dengan potensi daerah di berbagai wilayah Indonesia. Sarga.co hadir sebagai promotor pacuan kuda profesional pertama dan satu-satunya di Indonesia melalui IP Indonesia's Horse Racing. Kehadiran IHR menjadi bagian dari upaya mengubah cara pacuan kuda dikelola, dikemas, dan diperkenalkan kepada masyarakat. SCROLL TO CONTINUE WITH CONTENT Olahraga yang memiliki sejarah panjang di Indonesia tersebut kini mendapatkan pendekatan baru agar semakin dekat dengan generasi masa kini. Pada 2025, IHR menggelar sembilan event dengan tema ""The Race of Rising Stars"". Memasuki 2026, Sarga.co membawa ambisi lebih besar melalui tema ""Race to the World Stage"". Tema tersebut menjadi landasan pengembangan IHR menuju kompetisi yang lebih profesional sekaligus memiliki jangkauan penonton yang lebih luas. ADVERTISEMENT Baca juga: IHR Merdeka Cup 2026 Digelar, 18 Ribu Penonton Hadir di Payakumbuh Bersama PP Persatuan Olahraga Berkuda Seluruh Indonesia (PORDASI), Sarga.co menghadirkan delapan kejuaraan dalam kalender IHR 2026. Rangkaian kompetisi tersebut digelar di sejumlah wilayah dengan karakter dan tradisi berkuda yang berbeda. Agenda IHR 2026 dibuka melalui IHR Jateng Derby 2026 di Gelanggang Pacuan Kuda Tegalwaton, Kabupaten Semarang, pada 15 Februari. Setelah itu, kompetisi berlanjut lewat IHR Triple Crown Serie 1 & Pertiwi Cup di Stadion Sultan Agung, Bantul, pada 4 April. Pada 10 Mei, giliran IHR Triple Crown Serie 2 & Piala Raja Mangkunegaran digelar di Gelanggang Pacuan Kuda Tegalwaton. Rangkaian tersebut kemudian berlanjut pada Juni melalui IHR Piala Paku Alam di Stadion Sultan Agung, Bantul. Agenda utama lainnya hadir lewat IHR Indonesia Derby 2026 di Gelanggang Pacuan Kuda Legokjawa, Pangandaran, Jawa Barat, pada 26 Juli. Memasuki Agustus, kompetisi dilanjutkan melalui IHR Merdeka Cup 2026 di Sumatera Barat. Rangkaian IHR 2026 selanjutnya dijadwalkan menuju Kejurnas Seri II di Sulawesi Utara pada Oktober. Kompetisi kemudian ditutup dengan Piala Hamengku Buwono X di DI Yogyakarta pada November 2026. ""Kami sangat bersyukur dan mengapresiasi antusiasme masyarakat terhadap penyelenggaraan IHR sepanjang 2026. Bagi kami, IHR bukan hanya mengenai siapa yang menjadi juara di lintasan, melainkan juga bagian dari perjalanan untuk membangun pacuan kuda Indonesia menjadi semakin profesional dan modern, sekaligus tetap menghargai tradisi dan kearifan lokal,"" kata Direktur Komersial Sarga.co, Diana Airin. Melalui Indonesia's Horse Racing, tradisi dipadukan dengan pendekatan industri modern. Kompetisi dikembangkan secara profesional, produksi siaran ditingkatkan, pengalaman penonton diperluas, dan peluang komersial dibuka lebih jauh. Video: Cara Hindari Cuaca Panas ala Kroasia? Ya, Berkuda di Dalam Laut Video: Cara Hindari Cuaca Panas ala Kroasia? Ya, Berkuda di Dalam Laut (ran/bay) ... Tautan telah disalin berkuda pordasi",sport
